,airport,Total,identifier
0,1B1,13,Departure
1,3TX,4,Departure
2,ABE,100369,Departure
3,ABI,12921,Departure
4,ABQ,43443,Departure
5,ABR,26,Departure
6,ABY,78,Departure
7,ACK,220,Departure
8,ACT,6862,Departure
9,ACY,215199,Departure
10,ADK,87,Departure
11,ADQ,36,Departure
12,ADS,50,Departure
13,ADW,32877,Departure
14,AEX,170572,Departure
15,AFW,5291,Departure
16,AGC,31,Departure
17,AGS,27763,Departure
18,AHN,2,Departure
19,AID,73,Departure
20,AIK,79,Departure
21,AKN,331,Departure
22,AL5,21,Departure
23,ALB,215333,Departure
24,ALO,2643,Departure
25,AMA,5562,Departure
26,ANC,11849741,Departure
27,ANN,137,Departure
28,APA,367,Departure
29,APC,265,Departure
30,APF,842,Departure
31,APH,477,Departure
32,ARA,154,Departure
33,ARB,4,Departure
34,ART,6,Departure
35,ARV,4,Departure
36,ASE,147,Departure
37,ASH,7,Departure
38,ASN,2,Departure
39,AST,16,Departure
40,ATL,215457577,Departure
41,ATW,432,Departure
42,AUG,5,Departure
43,AUS,2555675,Departure
44,AUZ,5,Departure
45,AVL,519,Departure
46,AVP,6656,Departure
47,AVW,10,Departure
48,AWK,2169,Departure
49,AXN,5,Departure
50,AZA,254133,Departure
51,AZO,939,Departure
52,BAD,1201,Departure
53,BAF,615,Departure
54,BCT,590,Departure
55,BDL,2246388,Departure
56,BDR,436,Departure
57,BED,18345,Departure
58,BEH,91,Departure
59,BET,4,Departure
60,BFF,1103,Departure
61,BFI,43920,Departure
62,BFK,807,Departure
63,BFL,25426,Departure
64,BFM,66,Departure
65,BFT,103,Departure
66,BGM,227,Departure
67,BGR,3668087,Departure
68,BHB,10,Departure
69,BHC,1089,Departure
70,BHM,77630,Departure
71,BID,2,Departure
72,BIF,8179,Departure
73,BIH,4,Departure
74,BIL,14726,Departure
75,BIS,8300,Departure
76,BIX,105,Departure
77,BJC,248,Departure
78,BKL,4099,Departure
79,BKX,4,Departure
80,BLI,55853,Departure
81,BLM,36,Departure
82,BLV,2359,Departure
83,BMG,7,Departure
84,BMI,1252,Departure
85,BNA,2789440,Departure
86,BOI,8857,Departure
87,BOS,122896828,Departure
88,BPI,4,Departure
89,BPT,4951,Departure
90,BQK,564,Departure
91,BQN,80099,Departure
92,BRD,411,Departure
93,BRG,3068,Departure
94,BRO,195224,Departure
95,BRW,1347,Departure
96,BSM,794,Departure
97,BSW,4,Departure
98,BTL,216,Departure
99,BTM,362,Departure
100,BTR,3697,Departure
101,BTV,25089,Departure
102,BUF,573647,Departure
103,BUR,2754,Departure
104,BVY,58,Departure
105,BWI,20077752,Departure
106,BYW,2,Departure
107,BZN,1014,Departure
108,C01,12,Departure
109,CAE,46435,Departure
110,CAK,3390,Departure
111,CDB,2587,Departure
112,CDW,8,Departure
113,CEF,1028,Departure
114,CFT,12,Departure
115,CGI,90,Departure
116,CHA,5331,Departure
117,CHD,562,Departure
118,CHI,4,Departure
119,CHO,515,Departure
120,CHS,158697,Departure
121,CHU,1,Departure
122,CID,7455,Departure
123,CIN,18,Departure
124,CIU,40,Departure
125,CKB,43,Departure
126,CKV,3,Departure
127,CLD,111,Departure
128,CLE,6499442,Departure
129,CLL,3759,Departure
130,CLM,293855,Departure
131,CLS,5,Departure
132,CLT,51996735,Departure
133,CLU,834,Departure
134,CMH,1245921,Departure
135,CMI,5166,Departure
136,CNM,11,Departure
137,CNW,170,Departure
